paper_id,title,authors,year,venue,doi,url,pdf_url,source_database,abstract,keywords,citation_count,open_access_status,domain,task_type,models_mentioned,datasets_mentioned,metrics_mentioned,relevance_score,screening_status,exclusion_reason
P3C1AF4AB6A,Which Works Best for Vietnamese? A Practical Study of Information Retrieval Methods across Domains,Long S. T. Nguyen; Tho Quan,2026,EACL (Findings) 2026,,https://openreview.net/forum?id=5rIy63ZFjr,https://aclanthology.org/2026.findings-eacl.110.pdf,OpenReview,"Large Language Models (LLMs) depend on retrieval for factual grounding in Retrieval-Augmented Generation (RAG), placing Information Retrieval (IR) at the core of modern Question Answering (QA) systems. While lexical, dense, and hybrid paradigms have been extensively benchmarked in English, their relative effectiveness for Vietnamese remains insufficiently characterized, especially under realistic multi-domain settings. Existing studies are typically confined to single domains or curated datasets, limiting cross-domain comparability and obscuring paradigm-level trade-offs. We introduce the first domain-normalized, multi-domain benchmark for Vietnamese IR under a unified and reproducible evaluation protocol, spanning six domains and ten datasets across education, legal, healthcare, customer support, lifestyle reviews, and open-domain knowledge. We evaluate lexical, neural-sparse, late-interaction, dense, and hybrid paradigms across diverse Vietnamese-specific and multilingual embedding backbones, and release two QA datasets, EduCoQA and CSConDa, constructed from authentic counseling and customer-service interactions. Beyond reporting benchmark performance, we derive systematic insights into lexical–semantic hybridization, specialization versus robustness trade-offs, and the limited predictive value of model scale for retrieval effectiveness. All datasets and evaluation scripts are publicly available at https://github.com/longstnguyen/ViRE.",,,open,legal; medical,retrieval; embedding; RAG; benchmark,BM25,BEIR; ALQAC,nDCG; Recall; MRR; Precision,10,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P452D138CC5,ViRanker: A BGE-M3 & Blockwise Parallel Transformer Cross-Encoder for Vietnamese Reranking,Phuong-Nam Dang; Kieu-Linh Nguyen; Thanh-Hieu Pham,2026,Lecture Notes in Networks and Systems,10.1007/978-3-032-18316-3_34,https://www.semanticscholar.org/paper/68012bc6293af17bf555cb5e3a12fc326bb2ca08,https://arxiv.org/pdf/2509.09131v1,Crossref; OpenAlex; Semantic Scholar; arXiv,"This paper presents ViRanker, a cross-encoder reranking model tailored to the Vietnamese language. Built on the BGE-M3 encoder and enhanced with the Blockwise Parallel Transformer, ViRanker addresses the lack of competitive rerankers for Vietnamese, a low-resource language with complex syntax and diacritics. The model was trained on an 8 GB curated corpus and fine-tuned with hybrid hard-negative sampling to strengthen robustness. Evaluated on the MMARCO-VI benchmark, ViRanker achieves strong early-rank accuracy, surpassing multilingual baselines and competing closely with PhoRanker. By releasing the model openly on Hugging Face, we aim to support reproducibility and encourage wider adoption in real-world retrieval systems. Beyond Vietnamese, this study illustrates how careful architectural adaptation and data curation can advance reranking in other underrepresented languages.",,0,open,general,retrieval; embedding; RAG; benchmark,BGE-M3; XLM-R; PhoBERT; mBERT; BM25,mMARCO,nDCG; MRR; Accuracy,9,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P0B2625DE40,VN-MTEB: Vietnamese Massive Text Embedding Benchmark,Loc Pham; Tung Luu; Thu Vo; Minh Nguyen; Viet Hoang,2026,Conference of the European Chapter of the Association for Computational Linguistics,10.18653/v1/2026.findings-eacl.86,https://www.semanticscholar.org/paper/2e85341d2acc461ec1d5fce33b88484e8048ef5c,https://arxiv.org/pdf/2507.21500v1,Crossref; OpenAlex; Semantic Scholar; arXiv,"Vietnam ranks among the top countries in terms of both internet traffic and online toxicity. As a result, implementing embedding models for recommendation and content control duties in applications is crucial. However, a lack of large-scale test datasets, both in volume and task diversity, makes it tricky for scientists to effectively evaluate AI models before deploying them in real-world, large-scale projects. To solve this important problem, we introduce a Vietnamese benchmark, VN-MTEB for embedding models, which we created by translating a large number of English samples from the Massive Text Embedding Benchmark using our new automated framework, thereby contributing an extension of the Massive Multilingual Text Embedding Benchmark with our additional Vietnamese tasks and datasets. We leverage the strengths of large language models (LLMs) and cutting-edge embedding models to conduct translation and filtering processes to retain high-quality samples, guaranteeing a natural flow of language and semantic fidelity while preserving named entity recognition (NER) and code snippets. Our comprehensive benchmark consists of 41 datasets from six tasks specifically designed for Vietnamese text embeddings. In our analysis, we find that bigger and more complex models using Rotary Positional Embedding outperform those using Absolute Positional Embedding in embedding tasks.",,4,open,general,retrieval; embedding; RAG; benchmark,LaBSE; PhoBERT,MTEB; VN-MTEB; BEIR,,7,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +1 reusable model/data/code signal detected | +1 published in or after 2022
P0361B383C0,Optimizing Legal Document Retrieval in Vietnamese with Semi-Hard Negative Mining,V. Le; Duc-Vu Nguyen; Kiet Van Nguyen; N. Nguyen,2025,International Conference on Computational Collective Intelligence,10.48550/arxiv.2507.14619,https://www.semanticscholar.org/paper/780ed2f7e8c4a677b02611478fefc31bc6f56a15,https://arxiv.org/pdf/2507.14619,Semantic Scholar,"Large Language Models (LLMs) face significant challenges in specialized domains like law, where precision and domain-specific knowledge are critical. This paper presents a streamlined two-stage framework consisting of Retrieval and Re-ranking to enhance legal document retrieval efficiency and accuracy. Our approach employs a fine-tuned Bi-Encoder for rapid candidate retrieval, followed by a Cross-Encoder for precise re-ranking, both optimized through strategic negative example mining. Key innovations include the introduction of the Exist@m metric to evaluate retrieval effectiveness and the use of semi-hard negatives to mitigate training bias, which significantly improved re-ranking performance. Evaluated on the SoICT Hackathon 2024 for Legal Document Retrieval, our team, 4Huiter, achieved a top-three position. While top-performing teams employed ensemble models and iterative self-training on large bge-m3 architectures, our lightweight, single-pass approach offered a competitive alternative with far fewer parameters. The framework demonstrates that optimized data processing, tailored loss functions, and balanced negative sampling are pivotal for building robust retrieval-augmented systems in legal contexts.",,2,open,legal,retrieval; embedding; RAG; benchmark,BGE-M3; Sentence-BERT; BM25,,MRR; Accuracy; Precision,10,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P048819CB98,MMTEB: Massive Multilingual Text Embedding Benchmark,"Kenneth Enevoldsen; Isaac Chung; Imene Kerboua; Márton Kardos; Ashwin Mathur; David Stap; Jay Gala; Wissam Siblini; Dominik Krzemiński; Genta Indra Winata; Saba Sturua; Saiteja Utpala; Mathieu Ciancone; Marion Schaeffer; Sequeira, Gabriel; D. Misra; Shreeya Singh Dhakal; Jonathan Hvithamar Rystrøm; Roman Solomatin; Ömer Veysel Çağatan; Akash Kundu; Martin Bernstorff; Shitao Xiao; Akshita Sukhlecha; Bhavish Pahwa; Rafał Poświata; Kranthi Kiran GV; Shawon Ashraf; Daniel Auras; Björn Plüster; Jan Philipp Harries; Loïc Magne; Isabelle Mohr; Mariya Hendriksen; Dawei Zhu; Hippolyte Gisserot-Boukhlef; Tom Aarsen; Jan Kostkan; Konrad Wojtasik; Taemin Lee; Marek Šuppa; Crystina Zhang; Roberta Rocca; Mohammed Hamdy; Andrianos Michail; John Yang; Manuel Faysse; Aleksei Vatolin; Nandan Thakur; Manan Dey; Dipam Vasani; Pranjal A. Chitale; Simone Tedeschi; Nguyen Dinh Tai; Artem Snegirev; Michael Günther; Mengzhou Xia; Weijia Shi; Xing Han Lù; Jordan Clive; Krishnakumar, Gayatri; Maksimova, Anna; Silvan Wehrli; Maria Tikhonova; Henil Shalin Panchal; Aleksandr Abramov; Malte Ostendorff; Zheng Liu; Simon Clematide; Lester James V. Miranda; Alena Fenogenova; Guangyu Song; Ruqiya Bin Safi; Wen-Ding Li; Borghini, Alessia; Federico Cassano; Hongjin Su; Jimmy Lin; H. W. Yen; Lasse Hansen; Sara Hooker; Chenghao Xiao; Vaibhav Adlakha; Orion Weller; Siva Reddy; Niklas Muennighoff",2025,arXiv.org,10.48550/arxiv.2502.13595,https://www.semanticscholar.org/paper/653b0b997f3ea32f15a81128fc6daeea04d1fa87,https://arxiv.org/pdf/2502.13595,OpenAlex; Semantic Scholar,"Text embeddings are typically evaluated on a limited set of tasks, which are constrained by language, domain, and task diversity. To address these limitations and provide a more comprehensive evaluation, we introduce the Massive Multilingual Text Embedding Benchmark (MMTEB) - a large-scale, community-driven expansion of MTEB, covering over 500 quality-controlled evaluation tasks across 250+ languages. MMTEB includes a diverse set of challenging, novel tasks such as instruction following, long-document retrieval, and code retrieval, representing the largest multilingual collection of evaluation tasks for embedding models to date. Using this collection, we develop several highly multilingual benchmarks, which we use to evaluate a representative set of models. We find that while large language models (LLMs) with billions of parameters can achieve state-of-the-art performance on certain language subsets and task categories, the best-performing publicly available model is multilingual-e5-large-instruct with only 560 million parameters. To facilitate accessibility and reduce computational cost, we introduce a novel downsampling method based on inter-task correlation, ensuring a diverse selection while preserving relative model rankings. Furthermore, we optimize tasks such as retrieval by sampling hard negatives, creating smaller but effective splits. These optimizations allow us to introduce benchmarks that drastically reduce computational demands. For instance, our newly introduced zero-shot English benchmark maintains a ranking order similar to the full-scale version but at a fraction of the computational cost.",,118,open,general,retrieval; embedding; RAG; benchmark,multilingual-e5; E5; BM25,MTEB; MMTEB,,4,core,+2 includes comparative evaluation signals | +1 reusable model/data/code signal detected | +1 published in or after 2022
P06356296BC,Improving Vietnamese-English Cross-Lingual Retrieval for Legal and General Domains,Toan N. Nguyen; Nam Le Hai; Nguyễn Văn Hiệu; Dai An Nguyen; Linh Ngo Van; Thien Huu Nguyen; Dinh Viet Sang,2025,North American Chapter of the Association for Computational Linguistics,10.18653/v1/2025.naacl-short.12,https://www.semanticscholar.org/paper/35e60f845cd18b56b2338a211a15b646e2a833ef,https://aclanthology.org/2025.naacl-short.12.pdf,OpenAlex; OpenReview; Semantic Scholar,"Document retrieval plays a crucial role in numerous question-answering systems, yet research has concentrated on the general knowledge domain and resource-rich languages like English. In contrast, it remains largely un-derexplored in low-resource languages and cross-lingual scenarios within specialized domain knowledge such as legal. We present a novel dataset designed for cross-lingual retrieval between Vietnamese and English, which not only covers the general domain but also extends to the legal field. Additionally, we propose auxiliary loss function and symmetrical training strategy that significantly enhance the performance of state-of-the-art models on these retrieval tasks. Our contributions offer a significant resource and methodology aimed at improving cross-lingual retrieval in both legal and general QA settings, facilitating further advancements in document retrieval research across multiple languages and a broader spectrum of specialized domains. All the resources related to our work can be accessed at huggingface.co/datasets/ bkai-foundation-models/crosslingual .",,8,open,legal,retrieval; embedding; benchmark,BGE-M3,PhoMT,nDCG; Recall; MRR; MAP,10,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P761355BB9F,Advancing Vietnamese Information Retrieval with Learning Objective and Benchmark,Phu-Vinh Nguyen; Minh-Nam Tran; Long H. B. Nguyen; D. Dien,2025,"Pacific Asia Conference on Language, Information and Computation",10.48550/arxiv.2503.07470,https://www.semanticscholar.org/paper/34847de1972491802d9f7c9347283a6b0973d755,http://arxiv.org/pdf/2503.07470v1,OpenReview; Semantic Scholar; arXiv,"With the rapid development of natural language processing, many language models have been invented for multiple tasks. One important task is information retrieval (IR), which requires models to retrieve relevant documents. Despite its importance in many real-life applications, especially in retrieval augmented generation (RAG) systems, this task lacks Vietnamese benchmarks. This situation causes difficulty in assessing and comparing many existing Vietnamese embedding language models on the task and slows down the advancement of Vietnamese natural language processing (NLP) research. In this work, we aim to provide the Vietnamese research community with a new benchmark for information retrieval, which mainly focuses on retrieval and reranking tasks. Furthermore, we also present a new objective function based on the InfoNCE loss function, which is used to train our Vietnamese embedding model. Our function aims to be better than the origin in information retrieval tasks. Finally, we analyze the effect of temperature, a hyper-parameter in both objective functions, on the performance of text embedding models.",,2,open,general,retrieval; embedding; RAG; benchmark,DPR; BM25,MTEB; BEIR,MAP; Accuracy; Precision,9,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P9F643D4414,mGTE: Generalized Long-Context Text Representation and Reranking Models for Multilingual Text Retrieval,Xintong Zhang; Yanzhao Zhang; Dingkun Long; Wen Xie; Ziqi Dai; Jialong Tang; Huan Lin; Baosong Yang; Pengjun Xie; Fei Huang; Meishan Zhang; Wenjie Li; Min Zhang,2024,Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2024.emnlp-industry.103,https://www.semanticscholar.org/paper/a5d5a3a9b3c31d03c4ab863b01a18120b0a847d1,https://arxiv.org/pdf/2407.19669,OpenAlex; Semantic Scholar,"We present systematic efforts in building long-context multilingual text representation model (TRM) and reranker from scratch for text retrieval. We first introduce a text encoder (base size) enhanced with RoPE and unpadding, pre-trained in a native 8192-token context (longer than 512 of previous multilingual encoders). Then we construct a hybrid TRM and a cross-encoder reranker by contrastive learning. Evaluations show that our text encoder outperforms the same-sized previous state-of-the-art XLM-R. Meanwhile, our TRM and reranker match the performance of large-sized state-of-the-art BGE-M3 models and achieve better results on long-context retrieval benchmarks. Further analysis demonstrate that our proposed models exhibit higher efficiency during both training and inference. We believe their efficiency and effectiveness could benefit various researches and industrial applications.",,301,open,general,retrieval; embedding; RAG; benchmark,BGE-M3; multilingual-e5; E5; XLM-R; mBERT; BM25,MTEB; MIRACL; MLDR; BEIR,nDCG; Recall; MAP; Precision,6,core,+2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P1E2585E7BA,Vietnamese Legal Information Retrieval in Question-Answering System,"Thiem Nguyen Ba; Vinh Doan The; Tung Pham Quang; Van, Toan Tran",2024,arXiv (Cornell University),10.48550/arxiv.2409.13699,https://doi.org/10.48550/arxiv.2409.13699,https://arxiv.org/pdf/2409.13699v1,OpenAlex; arXiv,"In the modern era of rapidly increasing data volumes, accurately retrieving and recommending relevant documents has become crucial in enhancing the reliability of Question Answering (QA) systems. Recently, Retrieval Augmented Generation (RAG) has gained significant recognition for enhancing the capabilities of large language models (LLMs) by mitigating hallucination issues in QA systems, which is particularly beneficial in the legal domain. Various methods, such as semantic search using dense vector embeddings or a combination of multiple techniques to improve results before feeding them to LLMs, have been proposed. However, these methods often fall short when applied to the Vietnamese language due to several challenges, namely inefficient Vietnamese data processing leading to excessive token length or overly simplistic ensemble techniques that lead to instability and limited improvement. Moreover, a critical issue often overlooked is the ordering of final relevant documents which are used as reference to ensure the accuracy of the answers provided by LLMs. In this report, we introduce our three main modifications taken to address these challenges. First, we explore various practical approaches to data processing to overcome the limitations of the embedding model. Additionally, we enhance Reciprocal Rank Fusion by normalizing order to combine results from keyword and vector searches effectively. We also meticulously re-rank the source pieces of information used by LLMs with Active Retrieval to improve user experience when refining the information generated. In our opinion, this technique can also be considered as a new re-ranking method that might be used in place of the traditional cross encoder. Finally, we integrate these techniques into a comprehensive QA system, significantly improving its performance and reliability",,2,open,legal,retrieval; embedding; RAG,BM25,,Accuracy; Precision,10,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P5182A0032F,Towards Comprehensive Vietnamese Retrieval-Augmented Generation and Large Language Models,Nguyen Quang Đuc; Le Hai Son; Nguyen Duc Nhan; Nguyen Dich Nhat Minh; Lê Thanh Hương; Dinh Viet Sang,2024,arXiv (Cornell University),10.48550/arxiv.2403.01616,https://openreview.net/forum?id=GgP7ESnYb0,http://arxiv.org/pdf/2403.01616v2,OpenAlex; OpenReview,This paper presents our contributions towards advancing the state of Vietnamese language understanding and generation through the development and dissemination of open datasets and pre-trained models for Vietnamese Retrieval-Augmented Generation (RAG) and Large Language Models (LLMs).,,5,open,general,retrieval; embedding; RAG; benchmark,PhoBERT; Sentence-BERT,,MRR; Accuracy,9,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P47282B6184,Multilingual E5 Text Embeddings: A Technical Report,Liang Wang; Nan Yang; Xiaolong Huang; Linjun Yang; Rangan Majumder; Furu Wei,2024,arXiv.org,10.48550/arxiv.2402.05672,https://www.semanticscholar.org/paper/85ceb93a797481b5203b36f4e77a0828107c42fd,https://arxiv.org/pdf/2402.05672v1,Semantic Scholar; arXiv,"This technical report presents the training methodology and evaluation results of the open-source multilingual E5 text embedding models, released in mid-2023. Three embedding models of different sizes (small / base / large) are provided, offering a balance between the inference efficiency and embedding quality. The training procedure adheres to the English E5 model recipe, involving contrastive pre-training on 1 billion multilingual text pairs, followed by fine-tuning on a combination of labeled datasets. Additionally, we introduce a new instruction-tuned embedding model, whose performance is on par with state-of-the-art, English-only models of similar sizes. Information regarding the model release can be found at https://github.com/microsoft/unilm/tree/master/e5 .",,433,open,general,retrieval; embedding; benchmark,multilingual-e5; E5; LaBSE; XLM-R; Sentence-BERT; DPR; BM25,MTEB; MIRACL; Mr. TyDi,nDCG,6,core,+2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
PC628139497,Improving Vietnamese Legal Document Retrieval using Synthetic Data,"Son Pham Tien; Hieu Nguyen Doan; A. D’Aì; Viet, Sang Dinh",2024,arXiv (Cornell University),10.48550/arxiv.2412.00657,https://openreview.net/forum?id=L4IUJcFoJ3,http://arxiv.org/pdf/2412.00657v1,OpenAlex; OpenReview; arXiv,"In the field of legal information retrieval, effective embedding-based models are essential for accurate question-answering systems. However, the scarcity of large annotated datasets poses a significant challenge, particularly for Vietnamese legal texts. To address this issue, we propose a novel approach that leverages large language models to generate high-quality, diverse synthetic queries for Vietnamese legal passages. This synthetic data is then used to pre-train retrieval models, specifically bi-encoder and ColBERT, which are further fine-tuned using contrastive loss with mined hard negatives. Our experiments demonstrate that these enhancements lead to strong improvement in retrieval accuracy, validating the effectiveness of synthetic data and pre-training techniques in overcoming the limitations posed by the lack of large labeled datasets in the Vietnamese legal domain.",,1,open,legal,retrieval; embedding; benchmark,BGE-M3; PhoBERT; Sentence-BERT; BM25,BEIR,Accuracy,10,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P7340A11077,Enhancing retrieval performance of embedding models via fine-tuning on synthetic data in RAG chatbot for Vietnamese military science domain,Nguyen Xuan Bac; Luu Van Sang; Nguyen Duc Vuong; Luong Quoc Le; Dang Duc Thinh,2024,Journal of Military Science and Technology,10.54939/1859-1043.j.mst.99.2024.109-118,https://www.semanticscholar.org/paper/b6a415aee38ae09729a2ee814081132be0f88758,,Crossref; OpenAlex; Semantic Scholar,"Retrieval-Augmented Generation (RAG) is a technology that combines information retrieval with large language models, enabling chatbots to provide accurate answers by querying relevant documents from a data repository before generating responses. While RAG chatbot has demonstrated effectiveness in many applications, there are still limitations in specialized Vietnamese data domains, particularly in the military science field. To address this challenge, this paper proposes a framework for fine-tuning embedding models using synthetic datasets generated by ChatGPT to enhance retrieval performance in a Q&A application focused on the history of the Institute of Information Technology (IoIT). Our approach evaluates 11 popular embedding models and shows a significant average improvement of 18.15% in the MAP@K metric. The resulting IoIT history Q&A chatbot, developed with fine-tuned embedding models and the Vietnamese language model Vistral-7B, outperforms chatbots utilizing OpenAI's embedding models and ChatGPT. These findings highlight the potential of RAG chatbot technology for advancing information retrieval applications in specialized fields like military science.",,1,unknown,history,retrieval; embedding; RAG; benchmark,,,MAP,10,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
PD63FF37D74,Multi-stage Information Retrieval for Vietnamese Legal Texts,Nhat-Minh Pham; Ha-Thanh Nguyen; Trong-Hop Do,2022,arXiv (Cornell University),10.48550/arxiv.2209.14494,https://doi.org/10.48550/arxiv.2209.14494,https://arxiv.org/pdf/2209.14494v2,OpenAlex; arXiv,"This study deals with the problem of information retrieval (IR) for Vietnamese legal texts. Despite being well researched in many languages, information retrieval has still not received much attention from the Vietnamese research community. This is especially true for the case of legal documents, which are hard to process. This study proposes a new approach for information retrieval for Vietnamese legal documents using sentence-transformer. Besides, various experiments are conducted to make comparisons between different transformer models, ranking scores, syllable-level, and word-level training. The experiment results show that the proposed model outperforms models used in current research on information retrieval for Vietnamese documents.",,3,open,legal,retrieval; embedding; benchmark,XLM-R; PhoBERT; Sentence-BERT; mBERT; BM25,,,8,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
PF27F8656D0,A Vietnamese information retrieval system for product-price,Tien-Thanh Vu; Dat Quoc Nguyen,2011,2011 IEEE International Conference on Granular Computing,10.1109/grc.2011.6122681,https://doi.org/10.1109/grc.2011.6122681,https://arxiv.org/pdf/1911.11623v1,Crossref; arXiv,"A price information retrieval (IR) system allows users to search and view differences among prices of specific products. Building product-price driven IR system is a challenging and active research area. Approaches entirely depending products information provided by shops via interface environment encounter limitations of database. While automatic systems specifically require product names and commercial websites for their input. For both paradigms, approaches of building product-price IR system for Vietnamese are still very limited. In this paper, we introduce an automatic Vietnamese IR system for product-price by identifying and storing Xpath patterns to extract prices of products from commercial websites. Experiments of our system show promising results.",,0,open,general,retrieval; benchmark,,,Recall; Accuracy; Precision,8,core,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 reusable model/data/code signal detected
